call_sign,dma,network_affiliate,fcc_callsign,fcc_dma,
WPVIDT,PHILADELPHIA,ABC,WPVI-TV,PHILADELPHIA,
WHODT,DES MOINES-AMES,NBC,WHO-DT,DES MOINES-AMES,
WJTCDT,MOBILE-PENSACOLA (FT WALT),IND,WJTC,MOBILE-PENSACOLA (FT WALT),
KENVDT,SALT LAKE CITY,NBC,KENV-DT,SALT LAKE CITY,
CMTVHD,LOS ANGELES,,,,
KPTVDT,PORTLAND OR,FOX,KPTV,PORTLAND OR,
KOMUDT3,COLUMBIA-JEFFERSON CITY,NBC,KOMU-TV,COLUMBIA-JEFFERSON CITY,
WNBWDT2,GAINESVILLE,N/A,WNBW-DT,GAINESVILLE,
LMNHD,LOS ANGELES,,,,
SZECLHD,NEW YORK,,,,
WDRBDT,LOUISVILLE,FOX,WDRB,LOUISVILLE,
KEYEDT,AUSTIN,CBS,KEYE-TV,AUSTIN,
WSYXDT,COLUMBUS OH,ABC,WSYX,COLUMBUS OH,
KUVIDT,BAKERSFIELD,MYTV,KUVI-DT,BAKERSFIELD,
KDKADT,PITTSBURGH,CBS,KDKA-TV,PITTSBURGH,
WCJBDT,GAINESVILLE,ABC,WCJB-TV,GAINESVILLE,
WRALDT,RALEIGH-DURHAM (FAYETVLLE),NBC,WRAL-TV,RALEIGH-DURHAM (FAYETVLLE),
KMTVDT,OMAHA,CBS,KMTV-TV,OMAHA,
WKMGDT,ORLANDO-DAYTONA BCH-MELBRN,CBS,WKMG-TV,ORLANDO-DAYTONA BCH-MELBRN,
WTTODT,BIRMINGHAM (ANN AND TUSC),CW,WTTO,BIRMINGHAM (ANN TUSC),
WVTVDT,MILWAUKEE,CW,WVTV,MILWAUKEE,
WUHFDT,ROCHESTER NY,FOX,WUHF,ROCHESTER NY,
WHAMDT,ROCHESTER NY,ABC,WHAM-TV,ROCHESTER NY,
WAVEDT,LOUISVILLE,NBC,WAVE,LOUISVILLE,
KCITDT,AMARILLO,FOX,KCIT,AMARILLO,
WRICDT,RICHMOND-PETERSBURG,ABC,WRIC-TV,RICHMOND-PETERSBURG,
FXHD,LOS ANGELES,,,,
KGODT,SAN FRANCISCO-OAK-SAN JOSE,ABC,KGO-TV,SAN FRANCISCO-OAK-SAN JOSE,
KOFYDT,SAN FRANCISCO-OAK-SAN JOSE,IND,KOFY-TV,SAN FRANCISCO-OAK-SAN JOSE,
CNBCHD,NEW YORK,,,,
KMAXDT,SACRAMNTO-STKTON-MODESTO,CW,KMAX-TV,SACRAMNTO-STKTON-MODESTO,
WEEKDT3,PEORIA-BLOOMINGTON,NBC,WEEK-TV,PEORIA-BLOOMINGTON,
WEEKDT2,PEORIA-BLOOMINGTON,NBC,WEEK-TV,PEORIA-BLOOMINGTON,
WXXADT,ALBANY-SCHENECTADY-TROY,FOX,WXXA-TV,ALBANY-SCHENECTADY-TROY,
KINGDT,SEATTLE-TACOMA,NBC,KING-TV,SEATTLE-TACOMA,
WBNSDT,COLUMBUS OH,CBS,WBNS-TV,COLUMBUS OH,
KUTVDT,SALT LAKE CITY,CBS,KUTV,SALT LAKE CITY,
WPECDT,WEST PALM BEACH-FT. PIERCE,CBS,WPEC,WEST PALM BEACH-FT. PIERCE,
KWCHDT,WICHITA-HUTCHINSON PLUS,CBS,KWCH-DT,WICHITA-HUTCHINSON PLUS,
KSCIDT,LOS ANGELES,IND,KSCI,LOS ANGELES,
WTVQDT,LEXINGTON,ABC,WTVQ-DT,LEXINGTON,
WDJTDT,MILWAUKEE,CBS,WDJT-TV,MILWAUKEE,
WROCDT,ROCHESTER NY,CBS,WROC-TV,ROCHESTER NY,
WLWTDT,CINCINNATI,NBC,WLWT,CINCINNATI,
WJRTDT,FLINT-SAGINAW-BAY CITY,ABC,WJRT-TV,FLINT-SAGINAW-BAY CITY,
WSYTDT,SYRACUSE,FOX,WSYT,SYRACUSE,
WBSFDT,FLINT-SAGINAW-BAY CITY,CW,WBSF,FLINT-SAGINAW-BAY CITY,
KFXLDT,LINCOLN & HASTINGS-KRNY,CW,KFXL-TV,LINCOLN & HASTINGS-KRNY,
WVAHDT,CHARLESTON-HUNTINGTON,FOX,WVAH-TV,CHARLESTON-HUNTINGTON,
WMARDT,BALTIMORE,ABC,WMAR-TV,BALTIMORE,
WTOGDT,TAMPA-ST. PETE (SARASOTA),THE CW NETWORK,WTOG,TAMPA-ST. PETE (SARASOTA),
KSNVDT,LAS VEGAS,MYTV,KSNV,LAS VEGAS,
WKRGDT,MOBILE-PENSACOLA (FT WALT),CBS,WKRG-TV,MOBILE-PENSACOLA (FT WALT),
WCCBDT,CHARLOTTE,CW/METV,WCCB,CHARLOTTE,
SZEBHD,NEW YORK,,,,
WIATDT,BIRMINGHAM (ANN AND TUSC),CBS,WIAT,BIRMINGHAM (ANN TUSC),
KNVADT,AUSTIN,CW,KNVA,AUSTIN,
WCWGDT,GREENSBORO-H.POINT-W.SALEM,CW,WCWG,GREENSBORO-H.POINT-W.SALEM,
WEYIDT,FLINT-SAGINAW-BAY CITY,NBC,WEYI-TV,FLINT-SAGINAW-BAY CITY,
KMVUDT,MEDFORD-KLAMATH FALLS,FOX,KMVU-DT,MEDFORD-KLAMATH FALLS,
BETHD,NEW YORK,,,,
STZCHD,NEW YORK,,,,
KOINDT,PORTLAND OR,CBS,KOIN,PORTLAND OR,
WKRCDT2,CINCINNATI,CBS,WKRC-TV,CINCINNATI,
WNLODT,BUFFALO,CW,WNLO,BUFFALO,
WNUVDT,BALTIMORE,CW,WNUV,BALTIMORE,
WOLFDT,WILKES BARRE-SCRANTON-HZTN,FOX,WOLF-TV,WILKES BARRE-SCRANTON,
WTVXDT,WEST PALM BEACH-FT. PIERCE,CW,WTVX,WEST PALM BEACH-FT. PIERCE,
KVIADT,EL PASO (LAS CRUCES),ABC,KVIA-TV,EL PASO (LAS CRUCES),
OUTHD,MINNEAPOLIS-ST. PAUL,,,,
WSMHDT,FLINT-SAGINAW-BAY CITY,FOX,WSMH,FLINT-SAGINAW-BAY CITY,
WBFFDT,BALTIMORE,FOX,WBFF,BALTIMORE,
WKTCDT,COLUMBIA SC,MYTV,WKTC,COLUMBIA SC,
WRAZDT,RALEIGH-DURHAM (FAYETVLLE),FOX,WRAZ,RALEIGH-DURHAM (FAYETVLLE),
WCWWLD,SOUTH BEND-ELKHART,-,WCWW-LD,-,
DESTHD,LOS ANGELES,,,,
WKBWDT,BUFFALO,ABC,WKBW-TV,BUFFALO,
WFTSDT,TAMPA-ST. PETE (SARASOTA),ABC,WFTS-TV,TAMPA-ST. PETE (SARASOTA),
KUNWCD,YAKIMA-PASCO-RCHLND-KNNWCK,-,KUNW-CD,-,
WCPODT,CINCINNATI,ABC,WCPO-TV,CINCINNATI,
SZEAHD,LOS ANGELES,,,,
WBNDLD,SOUTH BEND-ELKHART,-,WBND-LD,-,
WTVDDT,RALEIGH-DURHAM (FAYETVLLE),ABC,WTVD,RALEIGH-DURHAM (FAYETVLLE),
WSLSDT,ROANOKE-LYNCHBURG,NBC,WSLS-TV,ROANOKE-LYNCHBURG,
WNCNDT,RALEIGH-DURHAM (FAYETVLLE),CBS,WNCN,RALEIGH-DURHAM (FAYETVLLE),
CINHD,NEW YORK,,,,
WLNEDT,PROVIDENCE-NEW BEDFORD,ABC,WLNE-TV,PROVIDENCE-NEW BEDFORD,
WBALDT,BALTIMORE,NBC,WBAL-TV,BALTIMORE,
KOKHDT,OKLAHOMA CITY,FOX,KOKH-TV,OKLAHOMA CITY,
WHPDT,HARRISBURG-LNCSTR-LEB-YORK,CBS,WHP-TV,HARRISBURG-LNCSTR-LEB-YORK,
WVBTDT,NORFOLK-PORTSMTH-NEWPT NWS,FOX,WVBT,NORFOLK-PORTSMTH-NEWPT NWS,
WTOVDT,WHEELING-STEUBENVILLE,NBC,WTOV-TV,WHEELING-STEUBENVILLE,
SNYHD,NEW YORK,,,,
WCJBDT2,GAINESVILLE,ABC,WCJB-TV,GAINESVILLE,
KJZZDT,SALT LAKE CITY,MYTV,KJZZ-TV,SALT LAKE CITY,
